%
1			achieve
吝啬			3
否定			3
否认			3
含糊			3
吸引			3
吹毛求疵			3
吻			3
呆*			3
困*			3
坎坷			3
壮阔			3
壮丽			3
壮观			3
妓女			3
妨害			3
妨碍			3
孝			3
孝顺			3
孝敬			3
完美			3
完备			3
完善			3
宏大			3
宏伟			3
屁眼			3
岔开			3
巫婆			3
希望			3
庇护			3
弄痛			3
弄坏			3
忌妒			3
忍*			3
忐忑*			3
忘恩负义			3
忘记			3
快乐			3
扭曲			3
扶持			3
批判			3
批评			3
把握			3
抑制			3
抑郁			3
投入			3
抗争			3
抗议			3
折磨			3
改善			3
改进			3
攻势			3
攻击			3
决心			3
决定			3
沉重			3
沉迷			3
沉着			3
灾*			3
牢骚			3
狂怒			3
狂笑			3
狂喜			3
狂暴			3
狂热			3
狂躁			3
私生子			3
肝肠寸断			3
良*			3
走运			3
足够			3
辛酸			3
邪恶			3
防			3
防卫			3
防御			3
防护			3
享受			3
佳*			3
使劲			3
依恋			3
典范			3
刺眼			3
刺痛			3
刺伤			3
刺激			3
刻薄			3
卑劣			3
卑鄙			3
协助			3
取笑			3
受不了			3
受苦			3
受虐			3
受害			3
受惠			3
受伤			3
受罪			3
受骗			3
周到			3
呵呵			3
呸			3
呼天抢地			3
命运			3
咆啸			3
和平			3
和善			3
和煦			3
和睦			3
和谐			3
和蔼			3
咒骂			3
固执			3
坦白			3
坦率			3
坦诚			3
垃圾			3
奇怪			3
奇特			3
奉承			3
奉献			3
孤*			3
宜人			3
幸运			3
幸福			3
忠			3
忠心			3
忠孝			3
忠诚			3
忠实			3
忽略			3
忽视			3
怕			3
怕生			3
怕羞			3
怡人			3
性情			3
性骚扰			3
怪			3
怪胎			3
怪异			3
怪诞			3
承担			3
承诺			3
抨击			3
抱			3
抱怨			3
抱歉			3
抵制			3
拉紧			3
抛弃			3
拒绝			3
拙劣			3
放心			3
放任			3
放屁			3
放弃			3
放肆			3
放纵			3
放松			3
昂贵			3
明亮			3
明智			3
昏*			3
易怒			3
朋友			3
服从			3
枉然			3
果断			3
欣*			3
歧视			3
沮丧			3
治疗			3
沾沾自喜			3
泣			3
争吵			3
争论			3
狗屁			3
玩			3
玩耍			3
玩笑			3
玩乐			3
知己			3
知足			3
知识			3
空洞			3
空虚			3
肯定			3
花招			3
长处			3
非人			3
非礼			3
非难			3
侮辱			3
局促			3
俊美			3
俗			3
俗气			3
保卫			3
保护			3
信心			3
信任			3
信奉			3
信服			3
信义			3
信实			3
信赖			3
信誉			3
冒犯			3
冒险			3
冠军			3
勇气			3
勇敢			3
勉强			3
叛乱			3
咬牙切齿			3
咯咯笑			3
哀*			3
品行			3
品德			3
哄骗			3
哇			3
哈			3
哈哈			3
哎呀			3
威胁			3
威严			3
帅			3
帅气			3
幽默			3
后悔			3
怒*			3
思			3
思念			3
思乡			3
怨恨			3
恍惚			3
恨*			3
恬*			3
恰好			3
恰当			3
拮据			3
拯救			3
拷打			3
拷问			3
拼命			3
指责			3
挑剔			3
挑战			3
挑衅			3
挖苦			3
柔			3
柔软			3
柔顺			3
柔肠寸断			3
歪曲			3
毒*			3
泄气			3
活力			3
活泼			3
活跃			3
流行			3
流泪			3
炫耀			3
为难			3
狠心			3
珍奇			3
珍惜			3
珍视			3
珍贵			3
珍爱			3
珍藏			3
相信			3
盼望			3
看不起			3
约束			3
美人			3
美好			3
美妙			3
美味			3
美梦*			3
美满			3
美德			3
美丽			3
耶			3
背叛			3
胡扯			3
致命			3
苛求			3
若无其事			3
苦			3
苦恼			3
英俊			3
英勇			3
英雄			3
虐待			3
负心			3
负债			3
负担			3
重大			3
重担			3
陌生			3
降级			3
面临			3
风险			3
首要			3
首级			3
首创			3
倒霉			3
倒霉			3
倔强			3
值得			3
值钱			3
凌乱			3
剥夺			3
原谅			3
哭*			3
哽咽			3
唐突			3
奚落			3
娱乐			3
害怕			3
害羞			3
容光焕发			3
容忍			3
差			3
差劲			3
弱			3
弱点			3
徒劳无功			3
恐怖			3
恐慌			3
恐吓			3
恐惧			3
恩典			3
恩惠			3
恭维			3
悔*			3
挫折			3
挫败			3
振奋			3
捐赠			3
效率			3
时髦			3
书呆子			3
栩栩如生			3
气急败坏			3
气愤			3
气馁			3
浪漫			3
消沉			3
消极			3
消灭			3
狭小			3
狭隘			3
疲*			3
疼痛			3
疼爱			3
益处			3
真心			3
真相			3
真诚			3
真实			3
破灭			3
破坏			3
祝贺			3
祝福			3
神经病			3
神经质			3
神圣			3
笑			3
笑死			3
笑容			3
笑话			3
纷争			3
缺*			3
能干			3
胁迫			3
脆弱			3
臭			3
臭味			3
臭气			3
茫然			3
草率			3
荒唐			3
荒谬			3
虔诚			3
衰*			3
衷心			3
讨喜			3
讨厌			3
贡献			3
辱骂			3
回避			3
迷人			3
迷失			3
迷惘			3
迷惑			3
迷乱			3
迷路			3
迷恋			3
逃避			3
逆向			3
高贵			3
高阶			3
高雅			3
高傲			3
高兴			3
斗争			3
假装			3
伟大			3
偏心			3
偏好			3
偏见			3
偏执			3
偏爱			3
偷			3
偷取			3
偷窃			3
伪造			3
动人			3
动听			3
啜泣			3
执拗			3
坚决			3
坚定			3
坚强			3
娼妓			3
寂*			3
崇拜			3
崇高			3
强			3
强力			3
强壮			3
强奸			3
强迫			3
强烈			3
强健			3
强硬			3
强暴犯			3
得意			3
得意洋洋			3
得罪			3
得体			3
徘徊			3
从容			3
悠闲			3
患病			3
情人			3
情绪			3
惋惜			3
扫兴			3
排斥			3
挣扎			3
挂念			3
挂虑			3
控制			3
推崇			3
敏捷			3
敏感			3
敏锐			3
救			3
败坏			3
杀			3
杀死			3
淘气			3
泪流满面			3
泪珠			3
淡漠			3
淫妇			3
深思			3
深情			3
深爱			3
混账			3
混蛋			3
混乱			3
淹没			3
清白			3
清楚			3
爽*			3
牵挂			3
猛烈			3
猜疑			3
理智			3
理想			3
甜*			3
疏忽			3
疏漏			3
盛怒			3
眼花撩乱			3
眼花缭乱			3
眼泪			3
众怒			3
窒*			3
笨*			3
粗心			3
粗俗			3
粗野			3
粗暴			3
粗鲁			3
累			3
细心			3
统治			3
羞*			3
庄严			3
处罚			3
设防			3
许诺			3
贫*			3
贪*			3
责备			3
软弱			3
逗弄			3
逗趣			3
逝世			3
造反			3
野蛮			3
阴沉			3
阴森			3
阴暗			3
陈腐			3
陶醉			3
麻木			3
麻烦			3
凯旋			3
创伤			3
胜利			3
胜过			3
博爱			3
博学			3
善心			3
善良			3
善意			3
喜*			3
喝采			3
丧*			3
单独			3
报仇			3
报复			3
富有			3
富裕			3
寒酸			3
尊重			3
尊贵			3
尊敬			3
尊荣			3
尊严			3
寻欢作乐			3
就绪			3
复仇			3
悲*			3
闷			3
闷闷不乐			3
恶*			3
恼*			3
惶*			3
愉*			3
提防			3
插嘴			3
散漫			3
景仰			3
智慧			3
最好			3
最佳			3
期盼			3
期望			3
棒			3
棘手			3
欺*			3
钦佩			3
款待			3
残忍			3
残酷			3
残暴			3
渴求			3
渴望			3
无力			3
无用			3
无助			3
无足轻重			3
无味			3
无知			3
无畏			3
无害			3
无效			3
无益			3
无能			3
无能*			3
无常			3
无情			3
无望			3
无理			3
无聊			3
无辜			3
无意义			3
无暇			3
无精打采			3
无忧无虑			3
无趣			3
无礼			3
无关紧要			3
无惧			3
焦急			3
焦虑			3
犹疑			3
犹豫			3
痛			3
痛不欲生			3
痛苦			3
痛哭流涕			3
发抖			3
发牢骚			3
发狂			3
发怒			3
发臭			3
发愁			3
盗			3
答应			3
结巴			3
绝妙			3
绝望			3
脾气			3
舒服			3
舒适			3
华丽			3
着迷			3
虚心			3
虚弱			3
虚荣			3
虚荣心			3
诉苦			3
诈骗			3
诅咒			3
费力			3
跛			3
跛脚			3
钝			3
开心			3
开明			3
开玩笑			3
开朗			3
闲散			3
闲话			3
阳光			3
隆重			3
雅致			3
顺利			3
乱			3
傲慢			3
传情			3
债务			3
伤*			3
傻			3
傻子			3
傻笑			3
势利			3
呜咽			3
妈的			3
嫉*			3
嫌*			3
干			3
微笑			3
微醺			3
想			3
想念			3
惹恼			3
愁*			3
愚笨			3
愚蠢			3
爱			3
爱人			3
爱心			3
爱好			3
爱情			3
爱慕			3
爱护			3
爱恋			3
感恩			3
感情			3
感伤			3
感激			3
感谢			3
愧*			3
慈祥			3
慈善			3
慈悲			3
慌*			3
损*			3
搏斗			3
敬畏			3
敬重			3
敬意			3
暖和			3
业障			3
极好			3
极端			3
极乐			3
毁*			3
温和			3
温柔			3
温情			3
温暖			3
温馨			3
滑稽			3
烦*			3
痴狂			3
禁止			3
经历			3
罪*			3
羡慕			3
义愤			3
万念俱灰			3
万岁			3
落伍			3
落空			3
解脱			3
诧异			3
诡计			3
该死			3
诙谐			3
夸大			3
诚心			3
诚实			3
贼*			3
躲避			3
遇到			3
遇难			3
游戏			3
过分			3
过失			3
过错			3
违*			3
隔离			3
顽固			3
顽强			3
鼓舞			3
鼓励			3
厌*			3
叹*			3
嘉奖			3
嫩			3
宁静			3
对			3
对抗			3
对质			3
惨*			3
慢			3
慷慨			3
摧毁			3
荣幸			3
荣耀			3
荣誉			3
满足			3
满意			3
漂亮			3
漫不经心			3
琐事			3
琐碎			3
疑*			3
疯*			3
祸*			3
福气			3
称赞			3
精力			3
精心			3
精美			3
精疲力尽			3
精疲力竭			3
精彩			3
紧张			3
紧绷			3
腐*			3
认可			3
认真			3
误			3
误会			3
误解			3
说服			3
说长道短			3
说谎			3
豪爽			3
豪华			3
轻快			3
轻忽			3
轻视			3
轻蔑			3
轻松			3
远离			3
鄙*			3
酷刑			3
酷爱			3
酸			3
酸甜苦辣			3
铭印			3
驳斥			3
肮脏			3
鼻酸			3
僵*			3
剧烈			3
唠叨			3
嘲*			3
嘻*			3
恶*			3
堕落			3
妩媚			3
娇弱			3
宽大			3
宽容			3
宽恕			3
德行			3
忧*			3
憎*			3
怜惜			3
怜悯			3
愤*			3
挚*			3
撒谎			3
抚育			3
敌*			3
暴力			3
暴怒			3
暴躁			3
乐*			3
毅然			3
洁净			3
热切			3
热烈			3
热衷			3
热情			3
热望			3
热泪盈眶			3
热爱			3
热闹			3
奖*			3
确定			3
确信			3
穷			3
穷困			3
胡涂			3
缓和			3
蔑视			3
冲突			3
冲击			3
调皮			3
调情			3
调戏			3
谄媚			3
贱*			3
质疑			3
辉煌			3
适合			3
适宜			3
适时			3
适当			3
遭受			3
铤而走险			3
震怒			3
震颤			3
震惊			3
霉运			3
养育			3
魄力			3
魅力			3
懊*			3
战火			3
战争			3
战斗			3
战胜			3
战乱			3
拥抱			3
拥护			3
擅长			3
操			3
操心			3
操劳			3
担心			3
担保			3
担忧			3
整齐			3
整洁			3
机敏			3
机警			3
机灵			3
激怒			3
激动			3
激情			3
激励			3
独自			3
瘸*			3
积极			3
罹难			3
腻			3
兴旺			3
兴致			3
兴趣			3
兴奋			3
荡妇			3
融洽			3
褫夺			3
亲			3
亲切			3
亲吻			3
亲和			3
亲密			3
亲爱			3
亲爱的			3
讽刺			3
诺言			3
谋杀			3
踊跃			3
蹂躏			3
输			3
输家			3
输掉			3
迟到			3
迟钝			3
迟疑*			3
遗弃			3
遗憾			3
错			3
错乱			3
错过			3
错误			3
随便			3
随意			3
头昏			3
默哀			3
优			3
优秀			3
优良			3
优柔寡断			3
优美			3
优胜			3
优惠			3
优雅			3
优势			3
优点			3
吓*			3
压力			3
压抑			3
压制			3
压迫			3
尴尬			3
帮忙			3
帮助			3
应付			3
懦*			3
戏弄			3
击			3
击败			3
滥情			3
灿烂			3
获胜			3
获奖			3
瞧不起			3
糟*			3
繁琐			3
绷紧			3
聪明			3
胆小			3
胆怯			3
胆量			3
胆战心惊			3
艰*			3
亏损			3
亵渎			3
谢天谢地			3
谢意			3
谢谢			3
丑*			3
钟爱			3
鲜明			3
鲜美			3
向往			3
归咎			3
简洁			3
谨慎			3
丰富			3
蹧蹋			3
蹩脚			3
镇定			3
镇静			3
镇压			3
杂乱			3
离婚			3
松懈			3
坏*			3
宠爱			3
惩罚			3
懒惰			3
懒散			3
怀念			3
怀乡			3
怀疑			3
爆发			3
痴迷			3
稳健			3
讥*			3
赞同			3
辞职			3
关心			3
关怀			3
难吃			3
难堪			3
难过			3
难闻			3
难熬			3
难题			3
愿			3
愿意			3
骗*			3
严重			3
严峻			3
严格			3
严酷			3
严厉			3
宝贝			3
宝贵			3
竞争			3
耀眼			3
触目惊心			3
触怒			3
触景伤情			3
赢			3
赢得			3
饶恕			3
骚动			3
骚扰			3
惧怕			3
烂			3
烂货			3
牺牲			3
缠身			3
缠绵			3
蠢*			3
谴责			3
护			3
踌躇			3
顾虑			3
欢*			3
颤抖			3
骄傲			3
脏*			3
恋人			3
恋爱			3
搅乱			3
窃*			3
变味			3
变质			3
惊*			3
体面			3
体贴			3
体会			3
体谅			3
灵巧			3
灵活			3
灵敏			3
灵感			3
龌龊			3
赞*			3
郁*			3

七窍生烟			4
上当			4
下流			4
小气			4
不平			4
不甘			4
不贞			4
不悦			4
不满			4
仇*			4
公愤			4
反抗			4
反叛			4
反派			4
反感			4
反对			4
反驳			4
王八蛋			4
世仇			4
他妈的			4
可耻			4
可笑			4
可恶			4
可鄙			4
可憎			4
打仗			4
打岔			4
打架			4
打败			4
打断			4
打搅			4
生气			4
白痴			4
白痴			4
矛盾			4
丢下			4
凶猛			4
凶恶			4
吃醋			4
成见			4
有害			4
自责			4
低能			4
作呕			4
作弊			4
冷酷			4
吝啬			4
否定			4
否认			4
吹毛求疵			4
呆			4
呆子			4
困扰			4
屁眼			4
忌妒			4
批判			4
批评			4
抗议			4
折磨			4
攻击			4
狂怒			4
狂暴			4
狂躁			4
邪恶			4
刺痛			4
刺伤			4
卑劣			4
卑鄙			4
取笑			4
受害			4
受罪			4
受骗			4
呸			4
咆啸			4
咒骂			4
垃圾			4
性骚扰			4
抨击			4
抱怨			4
抛弃			4
放屁			4
易怒			4
歧视			4
争吵			4
争论			4
狗屁			4
非礼			4
非难			4
侮辱			4
侵犯			4
侵略			4
侵袭			4
冒犯			4
叛乱			4
咬牙切齿			4
哄骗			4
威胁			4
怒*			4
怨恨			4
恨*			4
拷打			4
拷问			4
指责			4
挑剔			4
挑衅			4
挖苦			4
狠心			4
看不起			4
背叛			4
胡扯			4
苛求			4
虐待			4
倔强			4
奚落			4
差			4
差劲			4
恐吓			4
挫折			4
气急败坏			4
气愤			4
气馁			4
消灭			4
破坏			4
缺德			4
胁迫			4
荒唐			4
荒谬			4
讨厌			4
辱骂			4
斗争			4
偏见			4
偏执			4
强奸			4
强暴犯			4
得罪			4
败坏			4
杀			4
杀死			4
淫妇			4
混账			4
混蛋			4
盛怒			4
众怒			4
笨			4
笨蛋			4
粗暴			4
粗鲁			4
处罚			4
责备			4
造反			4
报仇			4
报复			4
复仇			4
恶*			4
恼*			4
插嘴			4
欺*			4
残忍			4
残酷			4
残暴			4
无情			4
无理			4
无礼			4
发狂			4
发怒			4
诈骗			4
诅咒			4
傲慢			4
伤天害理			4
伤害			4
势利			4
妈的			4
嫉*			4
嫌*			4
干			4
惹恼			4
愚笨			4
愚蠢			4
损人*			4
损坏			4
毁谤			4
毁坏			4
烦*			4
义愤			4
该死			4
遇难			4
顽固			4
顽强			4
厌恶			4
厌烦			4
对抗			4
对质			4
惨痛			4
疯狂			4
祸首			4
说谎			4
轻视			4
鄙*			4
酷刑			4
驳斥			4
肮脏			4
唠叨			4
嘲弄			4
嘲笑			4
嘲讽			4
憎*			4
愤*			4
撒谎			4
敌*			4
暴力			4
暴怒			4
暴躁			4
蔑视			4
冲突			4
贱			4
贱人			4
震怒			4
战火			4
战争			4
战斗			4
战乱			4
操			4
激怒			4
激动			4
荡妇			4
讽刺			4
谋杀			4
蹂躏			4
滥用			4
瞧不起			4
糟蹋			4
亵渎			4
丑陋			4
蹩脚			4
坏人			4
坏蛋			4
讥笑			4
讥讽			4
骗*			4
严酷			4
严厉			4
触怒			4
骚扰			4
烂			4
烂货			4
蠢*			4
谴责			4
脏			4
龌龊			4

人心惶惶			5
不安			5
不知所措			5
不便			5
不耐			5
不耐烦			5
不解			5
不适			5
内疚			5
分心			5
心神不定			5
心神不宁			5
心烦意乱			5
可怕			5
失眠			5
失控			5
打击			5
打扰			5
打搅			5
危*			5
吃惊			5
含糊			5
困*			5
妨害			5
妨碍			5
忐忑*			5
沉迷			5
受不了			5
受伤			5
怕			5
怕生			5
怕羞			5
侮辱			5
冒险			5
勉强			5
拮据			5
苦恼			5
风险			5
害怕			5
害羞			5
弱点			5
恐怖			5
恐慌			5
恐惧			5
神经病			5
神经质			5
脆弱			5
荒谬			5
迷惑			5
逃避			5
强迫			5
挣扎			5
挂念			5
混乱			5
淹没			5
牵挂			5
猜疑			5
羞*			5
惶*			5
棘手			5
焦急			5
焦虑			5
犹疑			5
犹豫			5
发抖			5
彷徨			5
愁*			5
愧*			5
慌*			5
烦恼			5
烦扰			5
禁止			5
罪恶感			5
躲避			5
疑*			5
紧张			5
紧绷			5
唠叨			5
忧*			5
穷困			5
胡涂			5
铤而走险			5
震惊			5
操劳			5
担心			5
担忧			5
迟疑			5
错乱			5
优柔寡断			5
吓*			5
压力			5
尴尬			5
糟糕			5
绷紧			5
胆小			5
胆怯			5
怀疑			5
难堪			5
骚动			5
惧怕			5
踌躇			5
顾虑			5
颤抖			5
搅乱			5
变动			5
惊呆			5
惊恐			5
惊悚			5
惊慌*			5
惊骇			5
惊吓			5

ㄏ			6
ㄏㄏ			6
了不起			6
了解			6
不错			6
水			6
可			6
可以			6
好			6
行			6
呵			6
呵呵			6
明白			6
哇			6
哈			6
哈哈			6
屌			6
是			6
科科			6
耶			6
哦			6
唔			6
真的			6
喔			6
就是说			6
棒			6
嗯			6
嗯哼			6
当然			6
啧啧			6
对			6
漂亮			6
酷			6
厉害			6
嘿			6
噢			6
瞭			6
了解			6
赞			6

也许			7
不可			7
不可以			7
不必			7
不行			7
不能			7
不得			7
不会			7
不应该			7
可			7
可以			7
可能			7
必要			7
必得			7
必须			7
未必			7
或许			7
肯			7
要			7
能			7
能够			7
得			7
敢			7
想			7
想要			7
会			7
该			7
应			7
应当			7
应该			7
愿意			7
让			7

x射线			8
二头肌			8
人命			8
三明治			8
上衣			8
上床			8
上菜			8
下午茶			8
下巴			8
下药			8
口			8
口水			8
口交			8
口渴			8
口腔			8
大夫			8
大便			8
大脑			8
大腿			8
